age,ed,employ,address,income,debtinc,creddebt,othdebt,default
41,college degree,17,12,176,9.3,11.359392,5.008608000000001,1
27,no high school,10,6,31,17.3,1.3622020000000001,4.0007980000000005,0
40,no high school,15,14,55,5.5,0.856075,2.168925,0
41,no high school,15,14,120,2.9,2.65872,0.8212799999999999,0
24,high school,2,0,28,17.3,1.787436,3.056564,1
41,high school,5,5,25,10.2,0.3927,2.1573,0
39,no high school,20,9,67,30.6,3.833874,16.668126,0
43,no high school,12,11,38,3.6,0.128592,1.239408,0
24,no high school,3,4,19,24.4,1.3583479999999999,3.277652,1
36,no high school,0,13,25,19.7,2.7777,2.1473,0
27,no high school,0,1,16,1.7,0.18251199999999998,0.089488,0
25,no high school,4,0,23,5.2,0.25235599999999997,0.943644,0
52,no high school,24,14,64,10.0,3.9296,2.4704,0
37,no high school,6,9,29,16.3,1.715901,3.011099,0
48,no high school,22,15,100,9.1,3.7037,5.3963,0
36,high school,9,6,49,8.6,0.817516,3.3964839999999996,1
36,high school,13,6,41,16.4,2.918216,3.8057839999999996,1
43,no high school,23,19,72,7.6,1.1819520000000001,4.2900480000000005,0
39,no high school,6,9,61,5.7,0.5632739999999999,2.913726,0
41,college degree,0,21,26,1.7,0.099008,0.342992,0
39,no high school,22,3,52,3.2,1.154816,0.509184,0
47,no high school,17,21,43,5.6,0.5875520000000001,1.820448,0
28,no high school,3,6,26,10.0,0.4316,2.1684,0
29,no high school,8,6,27,9.8,0.402192,2.243808,0
21,high school,1,2,16,18.0,0.24191999999999997,2.63808,1
25,undergraduate,0,2,32,17.6,2.14016,3.4918400000000003,0
45,high school,9,26,69,6.7,0.7073189999999999,3.9156809999999997,0
43,no high school,25,21,64,16.7,0.951232,9.736768,0
33,high school,12,8,58,18.4,3.0842080000000003,7.587791999999999,0
26,college degree,2,1,37,14.2,0.204906,5.049094,0
45,no high school,3,15,20,2.1,0.105,0.315,0
30,no high school,1,10,22,10.5,1.13883,1.17117,0
27,college degree,2,7,26,6.0,0.72228,0.83772,0
25,no high school,8,4,27,14.4,1.018656,2.869344,0
25,no high school,8,1,35,2.9,0.07714,0.93786,0
26,high school,6,7,45,26.0,6.0489,5.6511,0
30,high school,10,4,22,16.1,1.409716,2.132284,0
32,high school,12,1,54,14.4,3.195936,4.580064,0
28,high school,1,8,24,17.1,1.337904,2.766096,1
45,no high school,23,5,50,4.2,0.5586,1.5414,0
23,no high school,7,2,31,6.6,0.33759,1.7084099999999998,0
34,no high school,17,3,59,8.0,1.8077599999999998,2.91224,0
42,high school,7,23,41,4.6,0.9411139999999999,0.944886,0
39,no high school,19,5,48,13.1,1.930416,4.357583999999999,0
26,no high school,0,0,14,7.5,0.3024,0.7476,1
21,high school,0,1,16,6.8,0.150144,0.9378559999999999,0
35,no high school,13,15,35,4.5,0.43155,1.14345,0
47,no high school,4,2,26,10.4,0.12168,2.58232,0
23,high school,0,2,21,11.4,0.775656,1.618344,1
35,no high school,18,2,42,7.4,0.20512800000000003,2.902872,0
34,no high school,2,11,25,12.6,0.5733,2.5767,1
46,no high school,1,12,20,14.0,0.8092,1.9908,0
46,no high school,16,18,52,12.9,3.032016,3.6759839999999997,1
38,college degree,3,18,25,3.7,0.311725,0.613275,0
40,high school,3,2,28,9.5,0.55328,2.10672,0
37,no high school,1,3,24,15.1,1.8011279999999998,1.822872,1
35,no high school,9,1,34,5.0,0.3978,1.3022,0
39,high school,16,13,69,2.4,1.061496,0.594504,0
40,college degree,18,6,100,2.5,1.485,1.015,0
50,college degree,10,20,80,12.2,2.4790400000000004,7.28096,0
31,no high school,9,10,28,2.4,0.047712,0.6242880000000001,0
29,no high school,13,1,42,7.4,1.457652,1.650348,1
37,no high school,4,0,23,12.4,0.8698600000000001,1.9821400000000002,0
33,high school,4,9,55,7.0,2.15985,1.69015,0
26,high school,5,7,28,7.8,1.0242959999999999,1.159704,0
32,high school,11,6,75,23.3,7.7589,9.7161,1
28,high school,2,3,23,6.4,0.186944,1.285056,1
39,no high school,19,8,46,9.1,2.515786,1.6702139999999999,0
28,high school,8,3,31,8.2,1.492154,1.0498459999999998,1
29,no high school,1,2,20,18.6,0.56916,3.15084,1
34,high school,3,8,21,23.1,1.401939,3.449061,0
28,high school,5,9,34,23.8,3.099236,4.992764,0
47,no high school,26,21,100,12.8,4.5824,8.2176,0
43,undergraduate,1,5,26,10.6,1.518556,1.237444,0
41,no high school,13,10,44,1.7,0.07106,0.67694,0
47,no high school,13,25,51,23.8,3.7385040000000003,8.399496000000001,0
24,no high school,2,1,21,0.6,0.025074000000000003,0.100926,0
29,no high school,1,9,17,6.7,0.157182,0.9818180000000001,0
33,no high school,14,2,37,2.6,0.199134,0.7628659999999999,0
36,no high school,15,10,39,3.2,0.6864,0.5616,0
26,no high school,4,3,27,10.5,2.47212,0.36288000000000004,1
31,no high school,11,12,45,17.0,2.7387,4.9113,0
37,no high school,7,3,32,19.6,2.69696,3.57504,0
35,undergraduate,4,16,29,11.0,1.84382,1.34618,0
26,no high school,4,3,20,5.4,0.3186,0.7614,0
40,no high school,10,15,45,18.8,2.01348,6.44652,0
29,high school,5,4,36,12.4,3.490848,0.973152,1
37,college degree,5,17,29,24.6,1.405398,5.7286019999999995,0
32,no high school,12,12,28,2.9,0.11611600000000001,0.6958840000000001,0
23,high school,0,1,17,27.7,2.0437060000000002,2.665294,1
32,no high school,3,10,23,6.2,0.052762,1.373238,0
25,no high school,1,6,15,11.4,0.37106999999999996,1.33893,1
38,no high school,5,5,54,10.6,1.499688,4.224312,0
32,high school,0,6,18,5.8,0.296496,0.747504,1
41,college degree,2,0,15,26.3,1.960665,1.984335,1
36,no high school,17,6,54,4.4,0.727056,1.648944,0
42,college degree,13,0,82,3.3,1.315116,1.390884,0
41,no high school,14,8,52,7.3,0.9262239999999999,2.869776,0
29,high school,4,9,19,6.3,0.6810930000000001,0.515907,0
38,college degree,4,6,31,9.3,1.3319459999999999,1.5510540000000002,1
39,no high school,22,9,113,2.6,0.987168,1.950832,0
36,no high school,6,9,26,8.3,0.030212,2.1277880000000002,0
33,no high school,8,7,27,5.8,0.776736,0.7892640000000001,0
42,high school,21,11,121,3.1,1.365364,2.385636,0
41,high school,22,17,75,23.6,9.8766,7.8234,0
40,no high school,8,17,28,3.6,0.5342399999999999,0.47376,0
53,no high school,9,18,50,11.2,2.016,3.5839999999999996,1
28,no high school,4,7,26,13.5,1.29519,2.21481,0
36,high school,12,13,60,7.9,1.72062,3.01938,0
34,high school,9,13,45,10.1,1.1180700000000001,3.4269300000000005,0
